Method,Dice,0.796494521
AutoFuse,0.871976792,
AutoFuse,0.88399098,
AutoFuse,0.8841417,
AutoFuse,0.878412325,
AutoFuse,0.867172481,
AutoFuse,0.876218607,
AutoFuse,0.892582056,
AutoFuse,0.867237355,
AutoFuse,0.857677862,
AutoFuse,0.842341732,
AutoFuse,0.752254512,
AutoFuse,0.79273095,
AutoFuse,0.796550175,
AutoFuse,0.803627286,
AutoFuse,0.793258039,
AutoFuse,0.768695626,
AutoFuse,0.767826081,
AutoFuse,0.781194797,
AutoFuse,0.778760247,
AutoFuse,0.725753278,
AutoFuse,0.925672757,
AutoFuse,0.890320225,
AutoFuse,0.862702388,
AutoFuse,0.882477587,
AutoFuse,0.848850983,
AutoFuse,0.89090305,
AutoFuse,0.920014453,
AutoFuse,0.933758075,
AutoFuse,0.820917612,
AutoFuse,0.823834429,
AutoFuse,0.313569482,
AutoFuse,0.556684491,
AutoFuse,0.424603166,
AutoFuse,0.48950995,
AutoFuse,0.433526005,
AutoFuse,0.293003003,
AutoFuse,0.669796554,
AutoFuse,0.508279334,
AutoFuse,0.334203651,
AutoFuse,0.197039778,
AutoFuse,0.879522709,
AutoFuse,0.877960586,
AutoFuse,0.893677189,
AutoFuse,0.878060873,
AutoFuse,0.9104147,
AutoFuse,0.896006326,
AutoFuse,0.878941361,
AutoFuse,0.865803256,
AutoFuse,0.885723641,
AutoFuse,0.866810262,
AutoFuse,0.880008937,
AutoFuse,0.894403708,
AutoFuse,0.924257993,
AutoFuse,0.922724204,
AutoFuse,0.929000664,
AutoFuse,0.912598219,
AutoFuse,0.905978151,
AutoFuse,0.890651724,
AutoFuse,0.89505627,
AutoFuse,0.898630757,
AutoFuse,0.918743618,
AutoFuse,0.934961129,
AutoFuse,0.920359074,
AutoFuse,0.93005453,
AutoFuse,0.934529744,
AutoFuse,0.910257564,
AutoFuse,0.930896121,
AutoFuse,0.931183592,
AutoFuse,0.933199732,
AutoFuse,0.854315844,
AutoFuse,0.875403848,
AutoFuse,0.907918968,
AutoFuse,0.903867712,
AutoFuse,0.909904285,
AutoFuse,0.898964563,
AutoFuse,0.820477462,
AutoFuse,0.88985952,
AutoFuse,0.897990222,
AutoFuse,0.876806412,
AutoFuse,0.81136109,
AutoFuse,0.885046648,
AutoFuse,0.902083889,
AutoFuse,0.909941334,
AutoFuse,0.915242165,
AutoFuse,0.902462121,
AutoFuse,0.892777094,
AutoFuse,0.883355967,
AutoFuse,0.898043011,
AutoFuse,0.862176302,
AutoFuse,0.785125252,
AutoFuse,0.879202987,
AutoFuse,0.884508347,
AutoFuse,0.902686262,
AutoFuse,0.915384613,
AutoFuse,0.900590102,
AutoFuse,0.897326441,
AutoFuse,0.865714286,
AutoFuse,0.834656083,
AutoFuse,0.853742273,
AutoFuse,0.798747475,
AutoFuse,0.887598697,
AutoFuse,0.810466996,
AutoFuse,0.856031125,
AutoFuse,0.809252215,
AutoFuse,0.798149702,
AutoFuse,0.852197069,
AutoFuse,0.913318282,
AutoFuse,0.880478085,
AutoFuse,0.808905377,
AutoFuse,0.82649618,
AutoFuse,0.79485861,
AutoFuse,0.84578313,
AutoFuse,0.872895621,
AutoFuse,0.868100198,
AutoFuse,0.840982845,
AutoFuse,0.832755297,
AutoFuse,0.868059274,
AutoFuse,0.804617115,
AutoFuse,0.821501472,
AutoFuse,0.704757461,
AutoFuse,0.945898978,
AutoFuse,0.94935914,
AutoFuse,0.944576661,
AutoFuse,0.935003612,
AutoFuse,0.913304961,
AutoFuse,0.930775063,
AutoFuse,0.943548563,
AutoFuse,0.936746441,
AutoFuse,0.93791684,
